word,weight
great, 33188
good, 20262
best, 31880
love, 13184
well, 17612
amazing, 26945
friendly, 25209
nice, 20976
Vegas, 28632
delicious, 33637
little, 35201
recommend, 36460
right, 32816
awesome, 30672
favorite, 29177
fresh, 28966
night, 28211
Great, 28061
wait, 24858
again, 24617
bar, 23366
sure, 23355
order, 23299
few, 21213
better, 20802
chicken, 27289
pizza, 26503
perfect, 26407
worth, 45130
happy, 44127
pretty, 33909
excellent, 43678
dinner, 12678
sauce, 12174
price, 10402
lunch, 19670
super, 17709
different, 17677
salad, 16784
clean, 36690
small, 16087
friends, 15820
prices, 15737
atmosphere, 35698
enough, 15479
bit, 1522
table, 34119
wonderful, 33969
sweet, 33123
town, 32490
hot, 32349
selection, 32233
coffee, 31232
though, 30954
fantastic, 30881
loved, 30589
full, 30478
look, 30176
away, 30136
wanted, 30028
wine, 29750
far, 29347
breakfast, 29211
helpful, 28960
sushi, 28399
highly, 28356
beer, 28246
shop, 28239
drink, 28221
special, 27980
bread, 27689
through, 27431
check, 27209
taste, 27196
huge, 27137
burger, 27060
meat, 26977
spot, 26939
job, 26659
tasty, 26491
hour, 26291
those, 26001
friend, 25978
fries, 25950
sandwich, 25942
customer, 25797
minutes, 25732
cream, 25727
house, 25717
flavor, 25706
care, 25594
actually, 25493
same, 25364
car, 25247
week, 25220
bad, 25143
old, 25136
hotel, 24918
Las, 24733
dessert, 24389
steak, 24354
kind, 24158
dish, 23985
strip, 23830
review, 23798
course, 23711
large, 23711
enjoy, 23515
decided, 23515
open, 23290
Love, 23251
absolutely, 23238
hair, 23186
beautiful, 23181
thought, 23154
cool, 23121
owner, 23002
inside, 22953
able, 22919
chocolate, 22783
usually, 22721
music, 22467
reviews, 22387
stars, 22268
gave, 22251
couple, 22216
stop, 22051
outside, 21994
business, 21800
own, 21644
enjoyed, 21592
server, 21548
use, 21513
dishes, 21438
put, 21381
quite, 21265
end, 21164
used, 21146
fast, 21068
whole, 21009
told, 20984
walk, 20932
guys, 20850
ice, 20822
high, 20755
items, 20752
ask, 20704
cooked, 20642
line, 20629
probably, 20488
asked, 20473
perfectly, 20452
trip, 20446
part, 20404
fried, 20367
needed, 20330
hard, 20330
almost, 20323
Best, 20207
local, 20194
tell, 20180
served, 20032
live, 19983
let, 19905
beef, 19688
called, 19641
quick, 19484
hours, 19479
dining, 19385
left, 19234
professional, 19099
especially, 19063
several, 19023
eating, 18969
half, 18956
wife, 18954
water, 18912
name, 18824
front, 18806
extremely, 18666
reasonable, 18630
fish, 18608
spicy, 18512
help, 18435
least, 18379
rice, 18283
style, 18253
pork, 18223
flavors, 18192
stay, 18101
days, 17948
close, 17915
Phoenix, 17865
busy, 17696
three, 17672
One, 17521
keep, 17476
felt, 17333
started, 17303
cake, 17266
stuff, 17248
attentive, 17235
person, 17160
deal, 17141
kids, 17069
life, 17051
bring, 17049
easy, 17047
soup, 17036
cut, 16926
real, 16859
disappointed, 16850
comfortable, 16850
extra, 16848
party, 16780
fan, 16755
myself, 16755
options, 16681
less, 16565
looked, 16469
may, 16421
Just, 16419
Dr, 16388
After, 16368
call, 16255
start, 16243
drive, 16154
guy, 16154
brought, 16150
soon, 16040
door, 15958
seen, 15947
trying, 15848
making, 15833
nothing, 15769
shrimp, 15601
plate, 15584
why, 15576
ago, 15501
won't, 15495
regular, 15417
buffet, 15362
group, 15289
wish, 15230
impressed, 15169
pool, 15163
recommended, 15087
doing, 15052
etc, 15049
sit, 15012
doesn't, 14985
often, 14942
second, 14879
No, 14848
glad, 14808
tacos, 14786
until, 14743
red, 14739
list, 14737
offer, 14708
decor, 14683
dog, 14604
knew, 13750
entire, 13743
wrong, 13715
buy, 13675
later, 13633
parking, 13606
cheap, 13539
fact, 13537
remember, 13525
ate, 13519
working, 13395
tasted, 13348
mouth, 13341
today, 13326
set, 13325
warm, 13325
someone, 13297
de, 13286
past, 13187
world, 13165
morning, 13123
pick, 13101
Italian, 13063
Thai, 13007
view, 13004
unique, 13002
size, 12989
quickly, 12959
star, 12959
believe, 12939
incredible, 12930
waiting, 12921
early, 12882
Mexican, 12782
truly, 12765
pm, 12673
sandwiches, 12659
late, 12633
LOVE, 12006
amount, 11962
return, 11944
along, 11926
needs, 11925
totally, 11867
choice, 11854
knowledgeable, 11839
white, 11794
choose, 11755
run, 11659
eaten, 11640
chips, 11630
die, 11614
expensive, 11573
massage, 11573
priced, 11506
yourself, 11493
looks, 11444
either, 11428
burgers, 11415
potatoes, 11412
salon, 11361
months, 11343
between, 11309
expect, 11296
moved, 11280
watch, 11223
Definitely, 11186
flavorful, 11175
Saturday, 11173
evening, 11171
rooms, 11148
ingredients, 11122
outstanding, 11119
club, 11100
tender, 11079
man, 11064
there's, 11061
Thank, 11057
arrived, 11042
That, 11042
they're, 11040
office, 10979
ready, 10975
street, 10958
plenty, 10949
appetizer, 10944
company, 10926
across, 10876
glass, 10867
floor, 10849
crab, 10812
prepared, 10800
Scottsdale, 10751
butter, 10747
waitress, 10745
hands, 10732
type, 10719
maybe, 10711
Even, 10663
twice, 10656
ended, 10649
potato, 10647
exactly, 10626
serve, 10603
garlic, 10536
Chicken, 10524
seated, 10516
taking, 10497
BBQ, 10474
helped, 10455
main, 10444
finally, 10400
class, 10391
including, 10313
ambiance, 10311
Amazing, 10301
appointment, 10279
date, 10254
grilled, 10250
boyfriend, 10233
near, 10202
heard, 10199
available, 10196
others, 10134
chef, 10131
Sunday, 10111
hit, 10074
sat, 10054
recently, 10053
surprised, 9995
simple, 9962
under, 9959
kept, 9921
crispy, 9902
add, 9900
change, 9885
treat, 9883
Awesome, 9796
offered, 9795
within, 9778
itself, 9762
Thanks, 9761
reason, 9755
New, 9750
questions, 9713
space, 9710
packed, 9696
authentic, 9686
cold, 9645
%, 9635
month, 9602
forward, 9585
feeling, 9572
greeted, 9557
worked, 9515
cute, 9506
fabulous, 9487
kitchen, 9474
soft, 9473
taken, 9460
wedding, 9449
Had, 9436
phone, 9430
rest, 9418
brunch, 9406
notch, 9402
customers, 9402
Well, 9400
stayed, 9386
weeks, 9372
immediately, 9363
pasta, 9363
play, 9350
owners, 9345
city, 9326
seems, 9314
hand, 9300
fine, 9298
shopping, 9288
dogs, 9277
seafood, 9266
located, 9264
walking, 9244
salsa, 9232
opened, 9226
Don't, 9224
First, 9208
specials, 9202
beers, 8835
seem, 8828
yes, 8820
Now, 8807
wouldn't, 8759
cannot, 8758
gem, 8749
read, 8726
salmon, 8689
girl, 8673
spend, 8650
Friday, 8634
miss, 8629
lobster, 8610
Both, 8596
girls, 8587
true, 8585
perfection, 8572
beans, 8560
cost, 8550
French, 8545
crust, 8538
level, 8513
desserts, 8510
AMAZING, 8475
Everyone, 8473
tasting, 8460
meals, 8457
bottle, 8446
Will, 8435
goes, 8429
mean, 8422
yelp, 8398
Highly, 8368
products, 8362
lovely, 8357
game, 8357
portion, 8348
knows, 8326
stopped, 8322
employees, 8302
filled, 8275
four, 8273
simply, 8243
talk, 8171
behind, 8160
added, 8157
beat, 8152
counter, 8106
although, 8096
BEST, 8078
homemade, 8070
vegas, 8035
healthy, 8029
sides, 7963
bowl, 7958
honest, 7957
sitting, 7954
+, 7946
From, 7937
spent, 7933
However, 7924
card, 7923
appetizers, 7910
w, 7896
These, 7873
nIt, 7869
single, 7852
Wow, 7849
s, 7843
On, 7843
finish, 7801
ordering, 7800
corn, 7764
personal, 7757
pricey, 7756
servers, 7755
idea, 7740
received, 7736
favorites, 7723
black, 7713
park, 7701
Charlotte, 7697
wall, 7686
given, 7680
shows, 7666
interesting, 7662
