word,weight
good,47496
room,29194
bad,29032
better,24386
table,23819
money,22697
wait,22024
well,18936
great,18867
rude,16820
hotel,16099
nice,15940
sure,15524
waiting,25338
worst,15082
Vegas,14453
overpriced,24078
drinks,14141
chicken,14089
pizza,13806
finally,13573
price,13463
horrible,13017
waited,12625
wrong,21575
enough,10912
terrible,30871
best,10330
cold,10273
different,10211
salad,10158
help,10104
area,10092
bill,10011
needed,9871
worth,9848
card,9818
free,10814
quality,9771
sauce,9743
disappointed,19727
problem,9578
feel,9296
top,9290
recommend,9242
return,9218
open,9195
full,9071
already,8968
seemed,8533
meat,8514
less,8495
busy,18391
poor,18341
lunch,18323
whole,8218
hot,7917
extra,17858
party,7758
desk,7750
guess,7648
charged,7559
sandwich,7496
far,7356
dirty,17340
burger,7299
seated,7287
fries,7245
close,7243
dry,17222
change,7144
appointment,7111
sitting,6918
waste,6902
counter,6901
sushi,16891
love,16889
awful,16875
clean,16846
given,6823
floor,6820
happy,6767
places,6754
fact,6754
family,6721
cut,6700
I'll,6683
start,6620
bring,6618
credit,6614
months,6598
Well,6588
prices,6546
buy,6524
flavor,6500
ended,6477
bit,6468
Our,6462
steak,6422
plate,6396
own,6363
everyone,6339
management,6335
keep,6335
pick,6317
coffee,6286
late,6277
extremely,6220
sit,6199
bread,6191
able,6190
special,6181
empty,6158
believe,6158
ready,6155
myself,6150
friendly,6129
taking,6113
paying,6105
run,6103
guys,6076
items,6072
kept,6067
entire,6044
gone,6041
happened,6035
beer,6023
tip,6022
house,6019
slow,5994
making,5987
shop,5983
weeks,5982
worse,5979
offered,5971
course,5956
under,5935
past,5881
morning,5798
offer,5742
kids,5712
dog,5704
rooms,5697
rather,5671
definitely,5670
buffet,5669
cost,5595
seen,5576
fish,5547
sorry,5536
might,5534
decent,5520
NEVER,5518
rice,5518
month,5494
heard,5460
breakfast,5450
fresh,5441
bland,5399
closed,5397
club,5312
cheap,5237
noticed,5228
dish,5074
supposed,5063
town,5047
fix,5041
orders,5039
expensive,5033
due,5033
reservation,5024
longer,5022
turned,4974
showed,4941
seem,4931
absolutely,4895
bartender,4884
quite,4880
mean,4851
employee,4842
bought,4826
literally,4817
woman,4729
real,4726
hostess,4719
lost,4718
refund,4697
dining,4679
ice,4678
soup,4664
oil,4626
read,4591
stop,4555
treated,4544
mistake,4495
parking,4490
spend,4484
okay,4475
pool,4445
amount,4445
giving,4422
total,4405
live,4402
trip,4392
minute,4382
mind,4366
disgusting,4333
idea,4327
Service,4312
seems,4301
leaving,4296
usually,4292
stayed,4290
music,4270
strip,4268
huge,4258
nails,4258
hear,4246
immediately,4238
available,4236
hand,4228
move,4220
walking,4215
wine,4211
Do,4209
dollars,4197
THE,4185
yes,4184
stuff,4170
fee,4163
serve,4143
across,4132
chips,4128
soon,4116
wish,4112
lack,4100
moved,4094
beef,4085
explained,4065
street,4046
situation,4040
online,4037
piece,4024
hope,4007
stopped,4007
head,3979
bed,3975
bathroom,3972
clearly,3967
unless,3963
On,3959
fried,3957
telling,3953
girls,3950
makes,3939
cream,3938
Even,3932
nWhen,3924
glass,3913
changed,3912
super,3909
Worst,3896
size,3894
To,3893
returned,3890
Horrible,3888
informed,3884
between,3882
delivery,3880
mention,3861
especially,3857
write,3855
early,3854
mediocre,3833
hold,3829
response,3825
security,3820
yourself,3797
elsewhere,3769
establishment,3732
shrimp,3727
ordering,3710
regular,3706
sick,3706
please,3695
spoke,3668
bag,3668
ridiculous,3663
seat,3658
refused,3647
fast,3646
barely,3643
cash,3638
opened,3637
wings,3635
case,3632
others,3625
issues,3610
face,3608
joke,3591
boyfriend,3585
wash,3581
box,3574
insurance,3568
totally,3562
standing,3559
Really,3556
disappointing,3550
nIf,3541
weekend,3540
enjoy,3537
thinking,3536
sucks,3532
per,3529
frozen,3520
quickly,3520
four,3515
DO,3513
gets,3509
they're,3509
local,3500
sad,3494
sweet,3488
th,3481
low,3470
obviously,3465
list,3464
together,3458
near,3458
returning,3452
roll,3451
excited,3435
send,3425
attention,3420
loud,3417
basically,3406
takes,3403
Yelp,3398
casino,3395
chance,3391
cool,3390
running,3379
white,3377
Maybe,3373
type,3372
simply,3368
crap,3348
priced,3338
cannot,3336
Why,3333
dishes,3332
servers,3328
simple,3324
goes,3321
contact,3316
story,3315
using,3307
stand,3306
window,3302
gross,3300
average,3290
turn,3286
birthday,3274
forgot,3270
evening,3267
add,3261
hungry,3249
website,3245
email,3244
booked,3240
unprofessional,3233
sales,3232
non,3228
picked,3227
upset,3224
bottle,3221
AND,3206
hate,3197
within,3193
word,3189
red,3187
rolls,3183
answer,3180
complete,3174
mess,3174
bother,3169
stated,3166
flight,3157
avoid,3151
cook,3147
Friday,3147
matter,3139
fun,3139
Mexican,3125
purchase,3124
