word,weight
good, 62059
better, 35121
great, 32300
nice, 26637
minutes, 26455
pretty, 26418
room, 24456
bad, 24373
little, 23083
table, 22823
night, 21842
menu, 21781
well, 21631
bar, 21570
chicken, 19146
wait, 18524
right, 17074
price, 16842
cheese, 16660
sauce, 16358
best, 16152
server, 15988
meal, 15953
drinks, 15804
small, 15729
sure, 15540
long, 15320
Vegas, 15309
salad, 15291
pizza, 15263
drink, 15171
taste, 14441
bit, 13882
hotel, 12880
lunch, 12743
flavor, 12712
enough, 12701
burger, 12663
new, 12646
waitress, 12618
looked, 12371
fries, 12339
meat, 12169
probably, 12132
tasted, 12034
least, 11841
worth, 11817
disappointed, 11525
friendly, 21487
half, 11244
hot, 11192
pay, 11025
special, 11024
love, 11022
big, 11002
sandwich, 10884
money, 10882
decent, 10534
used, 10410
old, 10384
different, 10082
look, 10074
review, 9990
places, 9967
prices, 9949
customer, 9893
waiting, 19792
friend, 9622
waiter, 9610
steak, 9578
beer, 9516
hard, 9452
star, 9448
dry, 9373
almost, 9306
sushi, 9301
free, 9291
bland, 9235
friends, 9060
reviews, 9025
fresh, 8983
cold, 8883
manager, 8794
gave, 8792
couldn't, 8759
visit, 8724
quite, 8720
trying, 8708
found, 8678
top, 8672
dish, 8669
less, 8605
busy, 8399
coffee, 8372
person, 8243
those, 8238
reason, 8232
later, 8231
breakfast, 8225
part, 8225
stay, 8172
wrong, 8144
buffet, 8141
called, 8099
each, 8065
eating, 8059
end, 8047
average, 8025
cooked, 7963
until, 7938
fine, 7924
use, 7910
rice, 7909
instead, 7887
slow, 7793
brought, 7714
open, 7697
arrived, 7680
point, 7650
happy, 7638
fish, 7637
plate, 7602
tell, 7602
without, 7566
walked, 7496
guy, 7495
clean, 7483
whole, 7482
seated, 7451
large, 7382
outside, 7367
items, 7302
far, 7283
expect, 7259
husband, 7202
selection, 7179
rather, 7015
restaurants, 7013
close, 7013
sat, 6980
sweet, 6974
door, 6963
soup, 6935
extra, 6933
second, 6921
might, 6904
call, 6879
fried, 6854
however, 6848
business, 6818
saw, 6801
wine, 6773
bill, 6633
walk, 6628
seems, 6558
beef, 6548
party, 6531
hours, 6528
such, 6502
music, 6488
mediocre, 6487
expensive, 6472
started, 6432
paid, 6409
does, 6407
needed, 6398
may, 6344
atmosphere, 6340
fact, 6332
deal, 6325
problem, 6306
cool, 6301
customers, 6301
return, 6301
cheap, 6289
care, 6272
dining, 6265
nMy, 6261
strip, 6261
car, 6243
seem, 6231
impressed, 6224
floor, 6215
several, 6211
chips, 6182
What, 6172
during, 6072
recommend, 6067
huge, 6047
That, 6015
help, 5994
sit, 5994
tasty, 5984
group, 5950
shrimp, 5941
dishes, 5935
cream, 5920
sitting, 5918
pm, 5865
usually, 5855
Food, 5846
empty, 5838
As, 5838
super, 5824
Maybe, 5787
rude, 5781
terrible, 5740
leave, 5739
given, 5694
ended, 5662
delicious, 5631
bring, 5629
own, 5626
weren't, 5624
course, 5603
kids, 5597
rooms, 5582
wife, 5550
cut, 5538
start, 5536
name, 5524
enjoy, 5517
already, 5516
poor, 5505
year, 5504
comes, 5501
Service, 5476
dessert, 5460
myself, 5449
charge, 5443
OK, 5442
Then, 5419
understand, 5419
ate, 5396
ice, 5390
house, 5362
town, 5356
disappointing, 5308
options, 5304
especially, 5304
pool, 5299
gone, 5276
overpriced, 5252
ago, 5246
horrible, 5244
real, 5241
must, 5235
expected, 5225
counter, 5223
week, 5213
keep, 5203
kitchen, 5188
working, 5186
everyone, 5136
days, 5127
club, 5119
stuff, 5101
completely, 5101
size, 5095
past, 5056
mean, 5046
fun, 5041
pork, 5026
late, 5026
Just, 4995
parking, 4984
offer, 4975
amazing, 4965
worst, 4918
itself, 4917
tip, 4882
able, 4880
extremely, 4819
rest, 4809
girl, 4781
decor, 4778
liked, 4760
doing, 4755
under, 4754
looks, 4749
yet, 4710
Well, 4710
drive, 4705
tacos, 4697
orders, 4676
phone, 4668
job, 4642
family, 4635
fast, 4628
making, 4623
short, 4620
excited, 4614
glass, 4584
salsa, 4575
card, 4575
casino, 4561
heard, 4558
behind, 4557
roll, 4553
amount, 4529
makes, 4526
%, 4525
paying, 4518
bacon, 4516
dirty, 4510
seen, 4502
kept, 4501
All, 4494
ready, 4487
desk, 4486
One, 4472
fan, 4461
entire, 4450
NOT, 4435
Mexican, 4434
received, 4430
nSo, 4420
rolls, 4417
etc, 4411
twice, 4396
mind, 4382
tea, 4377
buy, 4370
regular, 4368
needs, 4358
wings, 4338
quick, 4312
employees, 4307
saying, 4277
serve, 4275
appetizer, 4262
Very, 4261
change, 4256
shop, 4254
live, 4227
between, 4221
anyone, 4219
First, 4211
bartender, 4196
spot, 4186
offered, 4184
loud, 4175
priced, 4172
burgers, 4170
stop, 4164
potatoes, 4140
taking, 4136
run, 4133
pasta, 4127
spicy, 4126
beans, 4108
cost, 4108
chocolate, 4105
favorite, 4088
quickly, 4084
guys, 4083
main, 4076
giving, 4076
set, 4062
lady, 4058
today, 4056
trip, 4050
ordering, 4038
noticed, 4034
awesome, 4022
servers, 4021
warm, 4012
pick, 4004
believe, 3989
nThis, 3978
unless, 3956
there's, 3952
stayed, 3949
style, 3946
morning, 3937
street, 3932
red, 3930
eggs, 3920
plus, 3906
salty, 3904
near, 3898
$4, 3896
idea, 3874
hand, 3866
Saturday, 3857
hostess, 3841
crab, 3834
Oh, 3832
local, 3830
overall, 3817
pieces, 3817
medium, 3814
walking, 3813
although, 3807
across, 3778
Las, 3757
supposed, 3749
type, 3740
On, 3734
gets, 3734
portions, 3727
soon, 3707
barely, 3699
enjoyed, 3686
due, 3683
together, 3682
they're, 3682
hair, 3681
list, 3674
Now, 3671
owner, 3656
frozen, 3651
spend, 3648
portion, 3645
nIf, 3644
remember, 3640
white, 3639
others, 3621
somewhere, 3591
early, 3590
available, 3563
view, 3555
lack, 3553
BBQ, 3548
piece, 3533
potato, 3517
hungry, 3514
weird, 3511
Unfortunately, 3496
hit, 3495
sign, 3489
four, 3488
bathroom, 3481
cake, 3479
happened, 3474
read, 3464
awful, 3461
knew, 3459
dog, 3445
hear, 3438
longer, 3434
choice, 3431
Nothing, 3424
man, 3413
bite, 3410
expecting, 3407
low, 3407
Don't, 3405
checked, 3400
wish, 3389
turned, 3387
taken, 3387
bowl, 3383
disappointment, 3382
weekend, 3382
tiny, 3374
literally, 3373
Even, 3368
girls, 3350
game, 3350
per, 3339
opened, 3325
head, 3323
charged, 3322
cup, 3318
sad, 3316
minute, 3309
evening, 3309
excellent, 3309
based, 3308
elsewhere, 3304
add, 3300
plates, 3294
seating, 3289
Good, 3283
While, 3271
months, 3269
crowd, 3261
issue, 3260
green, 3244
talking, 3243
stopped, 3228
worse, 3227
hope, 3225
middle, 3222
asking, 3220
greasy, 3211
patio, 3201
yes, 3196
except, 3195
Went, 3194
nOverall, 3189
non, 3183
bottle, 3181
says, 3175
Italian, 3174
totally, 3172
write, 3169
hate, 3164
min, 3157
salt, 3155
stand, 3133
ones, 3130
To, 3129
nIt, 3123
seat, 3117
spent, 3117
burrito, 3114
reservation, 3112
feeling, 3106
sorry, 3104
case, 3101
absolutely, 3096
space, 3093
aren't, 3089
eaten, 3089
attention, 3079
lettuce, 3065
Sunday, 3046
oil, 3039
sort, 3031
Friday, 3028
Their, 3023
That's, 3022
+, 3011
light, 3011
lacking, 2995
chance, 2976
de, 2974
nWhen, 2963
sandwiches, 2958
lots, 2955
packed, 2952
changed, 2952
Thai, 2940
credit, 2939
attitude, 2938
grilled, 2935
forgot, 2920
par, 2914
soggy, 2909
boyfriend, 2907
butter, 2896
total, 2884
management, 2877
thin, 2870
basically, 2867
standard, 2865
often, 2865
number, 2862
cook, 2857
rating, 2852
staying, 2852
crowded, 2845
bed, 2842
nThey, 2838
chef, 2835
watch, 2833
along, 2830
egg, 2824
overcooked, 2823
Really, 2817
Had, 2811
Yelp, 2802
ingredients, 2797
bucks, 2781
garlic, 2769
simple, 2769
dressing, 2755
serving, 2753
onion, 2751
closed, 2750
goes, 2749
talk, 2746
birthday, 2736
attentive, 2720
finished, 2720
beers, 2720
taco, 2719
Chicken, 2707
bought, 2707
seriously, 2698
