word,weight
good, 71375
great, 67708
pretty, 58837
nice, 56994
little, 53821
better, 41593
well, 38781
bar, 37623
menu, 37352
bit, 36838
night, 35401
room, 32645
after, 32174
bad, 31723
chicken, 30571
again, 30510
first, 30146
few, 30026
want, 29326
down, 27432
Vegas, 27286
best, 27256
always, 26992
cheese, 26730
table, 26677
price, 26643
right, 26241
small, 25780
sauce, 25632
friendly, 28484
lunch, 25481
sure, 25369
salad, 24371
side, 24299
since, 23997
drinks, 23903
decent, 33768
wait, 23529
pizza, 22889
meal, 22733
love, 22524
times, 22303
location, 22250
definitely, 22241
find, 22103
never, 22065
burger, 21486
minutes, 21420
dinner, 21372
probably, 21332
drink, 21299
fries, 21116
long, 20696
big, 20638
enough, 20295
hotel, 19420
hot, 18840
quite, 18773
taste, 18523
wanted, 18138
fresh, 18003
thought, 17993
same, 17991
special, 17853
prices, 17766
last, 17726
different, 17649
feel, 17646
flavor, 17617
need, 17608
tasty, 17263
beer, 17217
kind, 17093
check, 17057
meat, 17017
sandwich, 16870
actually, 16856
selection, 16813
asked, 16765
server, 16646
new, 16607
worth, 16509
delicious, 16197
free, 16190
tried, 16145
breakfast, 15860
places, 15770
line, 15568
bread, 15383
seemed, 15221
large, 15196
quality, 14823
clean, 14733
happy, 14697
high, 14602
inside, 14577
friends, 14553
okay, 14440
sweet, 14370
visit, 14225
store, 14208
home, 14130
dish, 14061
work, 13887
friend, 13848
atmosphere, 13710
steak, 13625
sushi, 13621
full, 13580
half, 13568
old, 13463
least, 13460
buffet, 13417
items, 13388
cool, 13385
star, 13381
average, 13364
tables, 13349
look, 13347
coffee, 13334
strip, 13256
used, 13208
getting, 13123
couple, 13120
fun, 13089
looked, 13041
show, 13019
review, 12985
told, 12962
decided, 12955
outside, 12875
busy, 12849
through, 12704
left, 12590
huge, 12581
top, 12562
fried, 12428
hard, 12426
tasted, 12360
rice, 12230
pay, 12196
open, 12176
served, 12163
end, 12109
part, 12029
water, 12025
waitress, 11970
music, 11908
usually, 11902
put, 11881
liked, 11801
stay, 11800
super, 11640
cream, 11540
almost, 11534
fine, 11431
less, 11383
far, 11369
front, 11350
beef, 11340
amazing, 11316
soup, 11298
enjoyed, 11275
dishes, 11172
felt, 11104
guess, 11081
use, 11077
expect, 11036
quick, 11002
fish, 10973
ask, 10840
wine, 10828
seems, 10729
trying, 10707
cooked, 10683
spot, 10662
cheap, 10637
enjoy, 10610
options, 10598
eating, 10398
walk, 10252
Good, 10230
OK, 10227
especially, 10217
dessert, 10209
close, 10096
favorite, 10079
done, 10075
disappointed, 10070
deal, 10028
awesome, 9983
plate, 9889
waiting, 9829
parking, 9809
dining, 9801
whole, 9757
waiter, 9606
pool, 9605
course, 9603
fast, 9589
chips, 9568
expensive, 19535
floor, 9465
recommend, 9442
ice, 9424
sit, 9418
slow, 9411
group, 9402
shrimp, 9365
stuff, 9346
seem, 9274
rooms, 9271
gave, 9263
reviews, 9255
fan, 9251
spicy, 9173
decor, 9153
coming, 9136
dry, 9121
reason, 9120
size, 9099
party, 9098
money, 9083
extra, 9043
seated, 8974
town, 8958
Service, 8956
chocolate, 8882
pork, 8877
excellent, 8765
casino, 8760
fact, 8694
cold, 8666
stop, 8592
until, 8548
wrong, 8543
club, 8401
door, 8356
house, 8336
point, 8303
style, 8303
kids, 8259
second, 8250
late, 8194
overall, 8143
expected, 8109
pm, 8074
able, 8005
seating, 7987
several, 7965
guy, 7934
needed, 7924
saw, 7923
bacon, 7918
